144# Number of sensors
#x	z
42	58	54	37	-10	0.031
42	58	37	53	7.1	0.0314085
42	58	53	36	-5.9	0.0316949
42	58	36	52	4.93	0.0320284
42	58	52	35	-4.33	0.0323095
42	58	35	51	3.67	0.0327248
42	58	51	34	-3.44	0.032907
42	58	34	50	3.19	0.0331348
42	58	50	33	-2.89	0.0334602
41	57	40	56	93.23	0.0301073
41	57	56	39	-63.21	0.0301582
41	57	39	55	42.88	0.0302332
41	57	55	38	-32.32	0.0303094
41	57	38	54	22.01	0.0304543
41	57	54	37	-17.46	0.0305727
41	57	37	53	13.08	0.0307645
41	57	53	36	-10.52	0.0309506
41	57	36	52	7.65	0.0313072
41	57	52	35	-6.57	0.0315221
41	57	35	51	5.43	0.0318416
41	57	51	34	-5.02	0.031992
41	57	34	50	4.6	0.0321739
41	57	50	33	-4.17	0.0323981
41	57	33	49	3.96	0.0325253
40	56	39	55	95	0.0301053
40	56	55	38	-64.93	0.030154
40	56	38	54	42.64	0.0302345
40	56	54	37	-31.73	0.0303152
40	56	37	53	23.12	0.0304325
40	56	53	36	-17.73	0.030564
40	56	36	52	13.95	0.0307168
40	56	52	35	-11.68	0.0308562
40	56	35	51	8.43	0.0311862
40	56	51	34	-7.68	0.0313021
40	56	34	50	6.95	0.0314388
40	56	50	33	-6.26	0.0315974
40	56	33	49	5.9	0.0316949
39	55	38	54	111.74	0.0300895
39	55	54	37	-77.83	0.0301285
39	55	37	53	48.99	0.0302041
39	55	53	36	-35.41	0.0302824
39	55	36	52	26.01	0.0303845
39	55	52	35	-20.91	0.0304782
39	55	35	51	15.85	0.0306309
39	55	51	34	-14.18	0.0307052
39	55	34	50	11.18	0.0308945
39	55	50	33	-9.97	0.031003
39	55	33	49	9.28	0.0310776
38	54	37	53	119.85	0.0300834
38	54	53	36	-79.78	0.0301253
38	54	36	52	51.63	0.0301937
38	54	52	35	-39.7	0.0302519
38	54	35	51	27.43	0.0303646
38	54	51	34	-23.98	0.030417
38	54	34	50	20.55	0.0304866
38	54	50	33	-18.1	0.0305525
38	54	33	49	14.69	0.0306807
37	53	36	52	122.09	0.0300819
37	53	52	35	-87.37	0.0301145
37	53	35	51	50.91	0.0301964
37	53	51	34	-43.08	0.0302321
37	53	34	50	35.15	0.0302845
37	53	50	33	-30.5	0.0303279
37	53	33	49	27.26	0.0303668
34	50	33	49	282.9	0.0300353
64	80	63	79	45.78	0.0302184
64	80	79	62	-28.83	0.0303469
64	80	62	78	18.57	0.0305385
64	80	78	61	-12.96	0.0307716
64	80	61	77	9.04	0.0311062
64	80	77	60	-6.62	0.0315106
64	80	60	76	5.13	0.0319493
64	80	76	59	-3.87	0.032584
64	80	59	75	3.07	0.0332573
64	80	75	58	-2.36	0.0342373
64	80	58	74	1.99	0.0350251
64	80	74	57	-1.56	0.0364103
64	80	57	73	1.34	0.0374627
64	80	73	56	-1.05	0.0395238
64	80	56	72	0.94	0.0406383
64	80	72	55	-0.76	0.0431579
63	79	62	78	77.36	0.0301293
63	79	78	61	-57.44	0.0301741
63	79	61	77	29.15	0.0303431
63	79	77	60	-22.22	0.03045
63	79	60	76	14.73	0.0306789
63	79	76	59	-11.51	0.0308688
63	79	59	75	8.3	0.0312048
63	79	75	58	-6.62	0.0315106
63	79	58	74	4.5	0.0322222
63	79	74	57	-3.65	0.0327397
63	79	57	73	2.86	0.0334965
63	79	73	56	-2.33	0.0342918
63	79	56	72	1.91	0.0352356
63	79	72	55	-1.59	0.0362893
63	79	55	71	1.34	0.0374627
63	79	71	54	-1.13	0.0388496
62	78	61	77	77.9	0.0301284
62	78	77	60	-56.14	0.0301781
62	78	60	76	32.63	0.0303065
62	78	76	59	-24.58	0.0304068
62	78	59	75	16.88	0.0305924
62	78	75	58	-13.05	0.0307663
62	78	58	74	9.6	0.0310417
62	78	74	57	-7.65	0.0313072
62	78	57	73	5.25	0.0319048
62	78	73	56	-4.19	0.0323866
62	78	56	72	3.38	0.0329586
62	78	72	55	-2.77	0.0336101
62	78	55	71	2.3	0.0343478
