50# Number of sensors
#x	y	z
12	21	39	30	2.572	-4.72	0.0203798	176.198	453.182
13	22	40	31	2.627	-8.49	0.0203706	175.995	462.34
14	23	41	32	2.551	-9.33	0.0203761	165.811	422.983
15	24	42	33	2.636	-10.72	0.0203666	157.216	414.421
16	25	43	34	2.641	-10.9	0.0203704	155.262	410.047
17	26	44	35	2.693	-10.35	0.0203623	154.31	415.556
18	27	45	36	2.697	-9.54	0.0203676	154.52	416.741
19	28	46	37	2.823	-10.3	0.0203486	154.656	436.594
20	29	47	38	2.939	-8.14	0.0203361	155.79	457.866
21	30	48	39	2.931	-7.62	0.0203351	158.685	465.107
22	31	49	40	2.87	-6.77	0.0203452	160.163	459.668
23	32	50	41	2.868	-5.25	0.0203466	165.661	475.116
1	11	31	21	2.088	-9.24	0.0204764	189.593	395.871
2	12	32	22	2.215	-11.8	0.0204521	187.528	415.374
3	13	33	23	2.306	-11.43	0.0204305	192.342	443.542
4	14	34	24	2.442	-11.6	0.0204065	194.305	474.493
5	15	35	25	2.478	-10.53	0.020401	195.393	484.183
6	16	36	26	2.521	-10.22	0.0203848	190.719	480.804
7	17	37	27	2.643	-9.16	0.0203762	187.584	495.783
8	18	38	28	2.627	-10.16	0.0203765	187.146	491.633
9	19	39	29	2.586	-9.43	0.020382	186.206	481.528
10	20	40	30	2.43	-8.96	0.020407	187.721	456.163
11	21	41	31	2.336	-7.63	0.02042	192.999	450.846
12	22	42	32	2.374	-6.94	0.020411	188.788	448.182
13	23	43	33	2.373	-6.56	0.0204144	178.473	423.517
14	24	44	34	2.368	-8.69	0.0204174	172.763	409.104
15	25	45	35	2.326	-9.02	0.0204198	169.495	394.245
16	26	46	36	2.352	-10.14	0.0204248	170.269	400.473
17	27	47	37	2.369	-8.6	0.0204146	172.962	409.747
18	28	48	38	2.501	-9.78	0.0203917	173.71	434.449
19	29	49	39	2.572	-7.85	0.0203846	175.075	450.292
20	30	50	40	2.668	-8.06	0.0203694	176.717	471.481
1	12	34	23	2.234	-11.63	0.0204472	213.692	477.388
2	13	35	24	2.304	-12.76	0.0204308	217.109	500.218
3	14	36	25	2.419	-12.22	0.020401	214.653	519.246
4	15	37	26	2.419	-11.64	0.0204102	211.559	511.761
5	16	38	27	2.517	-12.31	0.0203931	207.339	521.871
6	17	39	28	2.483	-9.92	0.0204018	207.001	513.984
7	18	40	29	2.445	-9.98	0.0204014	205.543	502.554
8	19	41	30	2.345	-10.48	0.0204241	201.878	473.403
9	20	42	31	2.212	-10.72	0.0204476	204.259	451.822
10	21	43	32	2.133	-9.05	0.02046	205.739	438.841
11	22	44	33	2.185	-10.84	0.0204541	202.234	441.881
12	23	45	34	2.129	-9.57	0.0204695	194.068	413.171
13	24	46	35	2.132	-9.78	0.0204647	186.496	397.609
14	25	47	36	2.07	-11.43	0.0204812	185.594	384.179
15	26	48	37	2.092	-12.13	0.0204735	188.783	394.935
